epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.088,1.10021,0.58577,1,1.07736,0.000413813,0.000413813,0.000413813
2,92.1355,0.99408,0.68061,1,0.8905,0.000822258,0.000822258,0.000822258
3,136.598,0.96687,0.72106,1,0.71842,0.00122245,0.00122245,0.00122245
4,179.49,0.90234,0.6848,1,0.74856,0.00121287,0.00121287,0.00121287
5,222.925,0.86086,0.68619,1,0.75433,0.0012005,0.0012005,0.0012005
6,267.758,0.80472,0.71827,1,0.69171,0.00118812,0.00118812,0.00118812
7,311.004,0.82561,0.70432,1,0.74545,0.00117575,0.00117575,0.00117575
8,352.438,0.78239,0.74059,1,0.63845,0.00116337,0.00116337,0.00116337
9,394.001,0.74981,0.75872,1,0.57565,0.001151,0.001151,0.001151
10,435.75,0.70778,0.7894,1,0.49113,0.00113863,0.00113863,0.00113863
11,477.139,0.72081,0.75453,1,0.62502,0.00112625,0.00112625,0.00112625
12,519.796,0.6446,0.77685,1,0.55505,0.00111388,0.00111388,0.00111388
13,562.294,0.64878,0.80474,1,0.53101,0.0011015,0.0011015,0.0011015
14,605.73,0.59745,0.82287,1,0.46859,0.00108913,0.00108913,0.00108913
15,649.7,0.58409,0.78103,1,0.56173,0.00107675,0.00107675,0.00107675
16,693.606,0.58541,0.85356,1,0.40917,0.00106437,0.00106437,0.00106437
17,736.583,0.56004,0.8424,1,0.38594,0.001052,0.001052,0.001052
18,779.132,0.54649,0.83961,1,0.43997,0.00103962,0.00103962,0.00103962
19,823.155,0.51749,0.83821,1,0.43958,0.00102725,0.00102725,0.00102725
20,865.486,0.49636,0.81172,1,0.47687,0.00101488,0.00101488,0.00101488
21,907.968,0.48914,0.85774,1,0.33292,0.0010025,0.0010025,0.0010025
22,953.238,0.49544,0.87029,1,0.35496,0.000990125,0.000990125,0.000990125
23,998.086,0.43931,0.86053,1,0.37849,0.00097775,0.00097775,0.00097775
